John King, john-king-667463
Michael King, michael-king-650633
Scott Kingery, scott-kingery-664068
Tyler Kinley, tyler-kinley-641755
Brandon Kintzler, brandon-kintzler-445213
Jason Kipnis, jason-kipnis-543401
Alejandro Kirk, alejandro-kirk-672386
Andrew Kittredge, andrew-kittredge-552640
Branden Kline, branden-kline-571858
Corey Kluber, corey-kluber-446372
Andrew Knapp, andrew-knapp-595284
Corey Knebel, corey-knebel-608349
Andrew Knizner, andrew-knizner-668800
Adam Kolarek, adam-kolarek-592473
Erik Kratz, erik-kratz-456124
Dean Kremer, dean-kremer-665152
Brooks Kriske, brooks-kriske-621139
Chad Kuhl, chad-kuhl-641771
Joel Kuhnel, joel-kuhnel-669270
Tommy La Stella, tommy-la-stella-600303
Juan Lagares, juan-lagares-501571
Brady Lail, brady-lail-621078
Travis Lakins Sr., travis-lakins-sr-664042
Jake Lamb, jake-lamb-571875
Jimmy Lambert, jimmy-lambert-669424
Dinelson Lamet, dinelson-lamet-659275
Eric Lauer, eric-lauer-641778
Ramon Laureano, ramon-laureano-657656
Ryan Lavarnway, ryan-lavarnway-543432
Wade LeBlanc, wade-leblanc-453281
Jose Leclerc, jose-leclerc-600917
Brandon Leibrandt, brandon-leibrandt-605335
DJ LeMahieu, dj-lemahieu-518934
Sandy Leon, sandy-leon-506702
Dominic Leone, dominic-leone-608678
Jon Lester, jon-lester-452657
Artie Lewicki, artie-lewicki-592499
Kyle Lewis, kyle-lewis-641786
Robinson Leyer, robinson-leyer-622490
Tzu-Wei Lin, tzu-wei-lin-624407
Josh Lindblom, josh-lindblom-458676
Francisco Lindor, francisco-lindor-596019
Zack Littell, zack-littell-641793
Mauricio Llovera, mauricio-llovera-661440
Jonathan Loaisiga, jonathan-loaisiga-642528
Tim Locastro, tim-locastro-641796
Walker Lockett, walker-lockett-621141
Shed Long Jr., shed-long-jr-643418
Evan Longoria, evan-longoria-446334
Tim Lopes, tim-lopes-621005
Jorge Lopez, jorge-lopez-605347
Nicky Lopez, nicky-lopez-670032
Pablo Lopez, pablo-lopez-641154
Reynaldo Lopez, reynaldo-lopez-625643
Yoan Lopez, yoan-lopez-661255
Michael Lorenzen, michael-lorenzen-547179
Aaron Loup, aaron-loup-571901
Richard Lovelady, richard-lovelady-663992
Brandon Lowe, brandon-lowe-664040
Nate Lowe, nate-lowe-663993
Joey Lucchesi, joey-lucchesi-664192
Jonathan Lucroy, jonathan-lucroy-518960
Dawel Lugo, dawel-lugo-608475
Seth Lugo, seth-lugo-607625
Jordan Luplow, jordan-luplow-656669
Gavin Lux, gavin-lux-666158
Jesus Luzardo, jesus-luzardo-666200
Jordan Lyles, jordan-lyles-543475
Lance Lynn, lance-lynn-458681
Tyler Lyons, tyler-lyons-544928
Manny Machado, manny-machado-592518
Vimael Machin, vimael-machin-605353
Nick Madrigal, nick-madrigal-663611
Kenta Maeda, kenta-maeda-628317
Matt Magill, matt-magill-543483
Tyler Mahle, tyler-mahle-641816
Martin Maldonado, martin-maldonado-455117
Sean Manaea, sean-manaea-640455
Joe Mantiply, joe-mantiply-573009
Dillon Maples, dillon-maples-596027
Rafael Marchan, rafael-marchan-665561
Nick Margevicius, nick-margevicius-676606
Manuel Margot, manuel-margot-622534
Jake Marisnick, jake-marisnick-545350
Nick Markakis, nick-markakis-455976
Jose Marmolejos, jose-marmolejos-592530
Brailyn Marquez, brailyn-marquez-666622
German Marquez, german-marquez-608566
Evan Marshall, evan-marshall-605359
Ketel Marte, ketel-marte-606466
Starling Marte, starling-marte-516782
